kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode,catalogNumber,identifiedBy,dateIdentified,rightsHolder,recordedBy
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-30T00:00:00Z,30,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS27471,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-27T00:00:00Z,27,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS26053,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-27T00:00:00Z,27,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS26052,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-27T00:00:00Z,27,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS26051,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS26050,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS26049,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25768,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25764,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-30T00:00:00Z,30,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25763,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-27T00:00:00Z,27,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25443,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25442,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-27T00:00:00Z,27,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25441,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25370,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS25367,R.W. Thorp 1968,,,F.W. Nunenmacher
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Nevada County,California,,,1920-08-13T00:00:00Z,13,8,1920,PRESERVED_SPECIMEN,USDA-ARS,JPS27138,R.S. Jacobson 1991,,,E.R. Leach
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Trinity County,California,,,1920-05-06T00:00:00Z,6,5,1920,PRESERVED_SPECIMEN,USDA-ARS,JPS16148,R.S. Jacobson 1991,,,E.R. Leach
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Trinity County,California,,,1918-04-18T00:00:00Z,18,4,1918,PRESERVED_SPECIMEN,USDA-ARS,JPS16141,R.S. Jacobson 1991,,,E.R. Leach
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",San Diego County,California,,,1928-02-11T00:00:00Z,11,2,1928,PRESERVED_SPECIMEN,USDA-ARS,JPS15541,J.B. Koch 2010,,,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",El Dorado County,California,,,1913-06-29T00:00:00Z,29,6,1913,PRESERVED_SPECIMEN,USDA-ARS,JPS28014,R.W. Thorp 1968,,,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Los Angeles County,California,,,1917-05-27T00:00:00Z,27,5,1917,PRESERVED_SPECIMEN,USDA-ARS,JPS27764,R.W. Thorp 1968,,,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Humboldt County,California,,,1911-05-07T00:00:00Z,7,5,1911,PRESERVED_SPECIMEN,USDA-ARS,USNM00740918,,,,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Humboldt County,California,,,1911-05-07T00:00:00Z,7,5,1911,PRESERVED_SPECIMEN,USDA-ARS,USNM00740913,,,,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Humboldt County,California,,,1911-04-25T00:00:00Z,25,4,1911,PRESERVED_SPECIMEN,USDA-ARS,USNM00740485,,,,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vosnesenskii,,"Bombus vosnesenskii Radoszkowski, 1862",Humboldt County,California,,,1911-04-25T00:00:00Z,25,4,1911,PRESERVED_SPECIMEN,USDA-ARS,USNM00740484,,,,
